DATE,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,FIRE_START_DAY,YEAR,TEMP_RANGE,WIND_TEMP_RATIO,MONTH,SEASON,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,DAY_OF_YEAR
1997-03-01,0.0,64.0,46.0,,False,1997,18.0,,3,Spring,0.0,12.788333333333334,60
1997-03-02,0.0,60.0,45.0,,False,1997,15.0,,3,Spring,0.0,13.556,61
1997-03-03,0.0,59.0,47.0,,False,1997,12.0,,3,Spring,0.0,13.925,62
2024-09-26,0.0,70.0,60.0,,False,2024,10.0,,9,Fall,0.0,7.678333333333334,270
2024-12-27,0.0,61.0,49.0,,False,2024,12.0,,12,Winter,0.01,5.183333333333333,362
2024-12-28,0.0,59.0,53.0,,False,2024,6.0,,12,Winter,0.01,5.101999999999999,363
2024-12-29,0.0,58.0,47.0,,False,2024,11.0,,12,Winter,0.01,5.369999999999999,364
2024-12-30,0.0,62.0,52.0,,False,2024,10.0,,12,Winter,0.01,5.219999999999999,365
2024-12-31,,,,,False,2024,,,12,Winter,0.0,4.919999999999998,366
2025-01-01,0.0,59.0,47.0,,False,2025,12.0,,1,Winter,0.0,4.7,1
2025-01-11,0.0,66.0,46.0,,False,2025,20.0,,1,Winter,0.0,6.5616666666666665,11
2025-01-12,0.0,69.0,46.0,,False,2025,23.0,,1,Winter,0.0,7.068,12
